Sp;minimum_frequent_depth;maximum_frequent_depth;minimum_depth;maximum_depth
Carinurus bifrons G, Karaman, 1977;149;270;149;270
Carinurus bazikalovae G, Karaman, 1977;6;200;6;200
Carinurus belkinii (Garjajeff, 1901);100;731;27;731
Carinurus karamani Kamaltynov, 2002;42;238;42;238
Carinurus platycarinus (Sowinsky, 1915);23;125;23;125
Carinurus microphthalmus (Sowinsky, 1915);80;80;80;80
Carinurus werestschagini Bazikalova, 1935;50;160;50;160
Carinurus solskii (Dybowsky, 1874);5;192;5;192
Carinurus obscurus Dorogostaisky, 1922;6;225;6;225
Carinurus bicarinatus Bazikalova, 1935;200;200;200;200
Acanthogammarus (Acanthogammarus) godlewskii (Dybowsky, 1874);5;300;5;825
Acanthogammarus (Ancyracanthus) victorii (Dybowsky, 1874);3;90;0.5;156
Acanthogammarus (Ancyracanthus) maculosus Dorogostaisky, 1930;40;202;5;202
Acanthogammarus (Acanthogammarus) gracilispinus Tachteew, 2001;60;100;20;100
Acanthogammarus (Ancyracanthus) lappaceus Tachteew, 2001;10;60;2;180
Cornugammarus maximus (Garjajeff, 1901);3;160;3;160
Diplacanthus brevispinus (Dorogostaisky, 1922);2;200;2;200
Oxyacanthus subbrevispinus (Bazikalova, 1945);6.5;100;6.5;100
Oxyacanthus flavus (Garjajeff, 1901);5;61;5;61
Oxyacanthus rodionowi (Dorogostaisky, 1922);8;11;8;11
Oxyacanthus curtus (Bazikalova, 1945);9;53;9;53
Oxyacanthus sowinskii (Bazikalova, 1945);4;70;4;70
Oxyacanthus korotneffii (Garjajeff, 1901);23;40;23;600
Brachyuropus nassonowi Dorogostaisky, 1922;100;758;100;758
Brachyuropus grewingkii (Dybowsky, 1874);300;1380;100;1380
Brachyuropus reichertii (Dybowsky, 1874);25;1371;25;1371
Coniurus palmatus Sowinsky, 1915;282;980;282;980
Coniurus wadimi Sowinsky, 1915;140;140;140;140
Coniurus radoschkowskii (Dybowsky, 1874);10;850;10;850
Dorogostaiskia parasitica (Dybowsky, 1874);1.5;140;1.5;140
Dorogostaiskia birsteini (Bazikalova, 1948);200;200;200;200
Dorogostaiskia insularis (Dorogostaisky, 1930);20;26;7;26
Dorogostaiskia parasitica hanajevi Daneliya & Väinölä, 2014;6;28;6;28
Dorogostaiskia parasitica kamaltynovi Daneliya & Väinölä, 2014;7;30;7;30
Dorogostaiskia parasitica stenocephala Daneliya & Väinölä, 2014;11;30;11;210
Dorogostaiskia parasitica ushkaniensis Daneliya & Väinölä, 2014;20;28;20;28
Dedyuola armata (Dybowsky, 1874);10;342;3.5;342
Dedyuola margaritae (Bazikalova, 1959);9;30;9;30
Dedyuola ongureni (Garjajeff, 1901);140;140;140;140
Garjajewia cabanisii (Dybowsky, 1874);100;1250;35;1250
Garjajewia ninae Bazikalova, 1945;37;830;37;830
Garjajewia dershawini Sowinsky, 1915;30;750;30;750
Garjajewia dogieli Bazikalova, 1935;300;950;300;950
Garjajewia sarsi Sowinsky, 1915;104;1641;104;1641
Paragarjajewia petersii (Dybowsky, 1874);200;1641;85;1641
Paragarjajewia microphthalma Bazikalova, 1948;300;1050;300;1050
Leptostenus leptocerus (Dybowsky, 1874);150;877;150;877
Plesiogammarus (Plesiogammarus) gerstaeckeri (Dybowsky, 1874);40;1610;3.5;1610
Plesiogammarus (Plesiogammarus) martinsoni Tachteew, 1997;92;1240;92;1240
Plesiogammarus (Plesiogammarus) martinsoni impransus Tachteew, 1997;360;500;360;500
Plesiogammarus (Caecogammarus) brevis Bazikalova, 1975;4;1520;4;1520
Plesiogammarus (Caecogammarus) inquaesitus Tachteew, 1997;145;250;145;250
Plesiogammarus (Caecogammarus) mazepovae Tachteew, 1997;7;950;7;950
Plesiogammarus (Caecogammarus) timoshkini Tachteew, 1997;102;400;102;400
Supernogammarus longicornis (Sowinsky, 1915);40;350;40;350
Sentogammarus zienkowiczii (Dybowsky, 1874);200;1641;112;1641
Pallasea cancellus (Pallas, 1772);2;10;1;52.5
Pallasea gerstfeldtii (Dybowsky, 1874);10;150;1.5;150
Pallaseopsis cancelloides (Gerstfeldt, 1858);1;10;0.3;178
Pallaseopsis kesslerii (Dybowsky, 1874);1;20;1;100
Pallaseopsis maligna (Tachteew, 2001);1;30;1;30
Pallaseopsis grubii (Dybowsky, 1874);1;40;1;175
Pallaseopsis grubii arenicola Dorogostaisky, 1922;2;15;2;15
Babr baikali (Stebbing, 1899);1.5;95;1.5;95
Babr nigromaculatus (Dorogostaisky, 1922);8;20;8;20
Homalogammarus brandtii (Dybowsky, 1874);10;60;1.5;442
Homalogammarus tenera (Sowinsky, 1915);40;200;7;350
Homalogammarus flaviceps (Dorogostaisky, 1922);30;92;7;92
Pentagonurus viridis (Garjajeff, 1901);0;20;0;300
Pentagonurus dybowskii (Stebbing, 1899);1;7;1;30
Propachygammarus dryshenkoi (Garjajeff, 1901);200;1300;10;1300
Propachygammarus bicornis (Dorogostaisky, 1930);35;40;35;40
Propachygammarus lamellispinis (Bazikalova, 1945);30;565;30;565
Burchania meissneri (Bazikalova, 1935);280;884;82;884
Hakonboeckia strauchii (Dybowsky, 1874);1.5;100;1.5;100
Nyctoporea sukaczewi (Sowinsky, 1915);60;1050;4;1050
Poekilogammarus pictus (Dybowsky, 1874);30;100;4;350
Onychogammarus (Onychogammarus) pictoides (Sowinsky, 1915);3.5;100;3.5;100
Onychogammarus (Onychogammarus) araneolus (Dybowsky, 1874);5;50;2;125
Onychogammarus (Onychogammarus) perpolitus (Tachteew, 2000);6;57;6;57
Onychogammarus (Onychogammarus) megonychus (Sowinsky, 1915);5;37;5;37
Onychogammarus (Onychogammarus) megonychoides (Bazikalova, 1945);24.5;350;24.5;350
Onychogammarus (Variogammarus) rectirostris (Bazikalova, 1945);14;105;14;105
Onychogammarus (Onychogammarus) quinquefasciatus (Dybowsky, 1874);10;50;10;50
Onychogammarus (Onychogammarus) pygoacanthus (Tachteew, 1995);34;42;34;42
Onychogammarus (Onychogammarus) erinaceus (Tachteew, 1992);4;105;4;105
Onychogammarus (Onychogammarus) ephippiatus (Dybowsky, 1874);10;50;10;50
Onychogammarus (Onychogammarus) dorogostajskii (Tachteew, 1995);15;42;15;42
Onychogammarus (Onychogammarus) crassimanus (Sowinsky, 1915);1.9;10;1.9;10
Onychogammarus (Onychogammarus) longipes (Bazikalova, 1945);8.5;20;8.5;20
Onychogammarus (Variogammarus) curvirostris (Bazikalova, 1945);10;350;10;350
Berchinia curvimanus (Sowinsky, 1915);108;108;108;108
Rostrogammarus talitrus (Dybowsky, 1874);80;350;80;350
Rostrogammarus orchestes (Dybowsky, 1874);150;620;150;620
Rostrogammarus rostratus (Sowinsky, 1915);100;200;33;790
